bldg_id,building_type,energy_code,hvac_category,vintage,weighted.sqft,orientation,building_shape,building_height,perimeter,wall_area,WWR,electricity_bill_mean..usd,natural_gas_bill..usd,propane_bill..usd
94105,Healthcare,ComStock DOE Ref 1980-2004,Small Packaged Unit,1980 to 1989,71543.06474,Unknown,1,3.048,64.34640583,196.127845,0.715258125,34621,1025,
94377,Healthcare,ComStock 90.1-2007,Small Packaged Unit,1946 to 1959,306613.1346,"180, North Axis {deg}",2,3.048,126.6232151,385.9475595,1.261919439,192480,5780,
94443,Healthcare,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,613226.2692,"315, North Axis {deg}",9,3.048,236.5079323,720.8761778,0.465181418,322113,5968,
94611,Healthcare,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,71543.06474,"180, North Axis {deg}",2,3.048,78.45995709,239.1459492,0.622178914,33757,1198,
95271,Healthcare,ComStock DOE Ref 1980-2004,Small Packaged Unit,1980 to 1989,153306.5673,"135, North Axis {deg}",2,3.048,71.50610709,217.9506144,0.44415475,69278,2307,
95582,Healthcare,ComStock 90.1-2007,Small Packaged Unit,1970 to 1979,71543.06474,"45, North Axis {deg}",2,3.048,64.34640583,196.127845,3.496817502,44121,1180,
96025,Healthcare,ComStock DOE Ref 1980-2004,Small Packaged Unit,2000 to 2012,71543.06474,"315, North Axis {deg}",missing,3.048,86.17762557,262.6694027,0.616682946,41941,1390,
96952,Healthcare,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,71543.06474,"315, North Axis {deg}",9,3.048,78.45995709,239.1459492,3.041763581,45606,726,
97129,Healthcare,ComStock 90.1-2007,Small Packaged Unit,2013 to 2018,71543.06474,"45, North Axis {deg}",2,3.048,64.34640583,196.127845,0.238419375,34057,1356,
97139,Healthcare,ComStock DOE Ref 1980-2004,Small Packaged Unit,1970 to 1979,613226.2692,"90, North Axis {deg}",2,3.048,242.0726188,737.8373421,0.185543941,291263,7858,
97172,Healthcare,ComStock 90.1-2004,Small Packaged Unit,2000 to 2012,306613.1346,"180, North Axis {deg}",2,3.048,168.8131925,514.5426106,0.733186077,138812,4961,
98797,Healthcare,ComStock 90.1-2007,Small Packaged Unit,2013 to 2018,71543.06474,"45, North Axis {deg}",2,3.048,64.34640583,196.127845,0.238419375,37787,1423,
99295,Healthcare,ComStock 90.1-2007,Small Packaged Unit,1980 to 1989,306613.1346,"45, North Axis {deg}",2,3.048,168.8131925,514.5426106,0.733186077,138825,3121,
99302,Healthcare,ComStock 90.1-2007,Small Packaged Unit,1946 to 1959,71543.06474,"180, North Axis {deg}",2,3.048,64.34640583,196.127845,0.715258125,50193,843,1178
99585,Healthcare,ComStock DOE Ref Pre-1980,Small Packaged Unit,1970 to 1979,71543.06474,"90, North Axis {deg}",2,3.048,78.45995709,239.1459492,0.207392971,34527,1149,
99599,Healthcare,ComStock DOE Ref 1980-2004,Small Packaged Unit,1946 to 1959,71543.06474,"270, North Axis {deg}",2,3.048,64.34640583,196.127845,1.509989376,46297,1242,
99605,Healthcare,ComStock 90.1-2007,Small Packaged Unit,1970 to 1979,153306.5673,"180, North Axis {deg}",2,3.048,71.50610709,217.9506144,1.332464251,75303,2244,
100643,Healthcare,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,71543.06474,"135, North Axis {deg}",2,3.048,64.34640583,196.127845,0.715258125,39599,811,
101221,Healthcare,ComStock 90.1-2007,Small Packaged Unit,1960 to 1969,613226.2692,"315, North Axis {deg}",11,3.048,295.9827868,902.1555343,0.189686316,326962,8965,
101372,Healthcare,ComStock 90.1-2007,Small Packaged Unit,2013 to 2018,71543.06474,"270, North Axis {deg}",2,3.048,64.34640583,196.127845,0.238419375,30476,1170,
101732,Healthcare,ComStock 90.1-2004,Small Packaged Unit,2000 to 2012,71543.06474,"45, North Axis {deg}",2,3.048,78.45995709,239.1459492,3.041763581,43501,775,
101935,Healthcare,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,306613.1346,"135, North Axis {deg}",2,3.048,126.6232151,385.9475595,1.261919439,98801,3443,
102805,Healthcare,ComStock 90.1-2007,Small Packaged Unit,2013 to 2018,153306.5673,"180, North Axis {deg}",2,3.048,71.50610709,217.9506144,0.44415475,73574,1740,
102867,Healthcare,ComStock DOE Ref 1980-2004,Small Packaged Unit,1960 to 1969,613226.2692,"90, North Axis {deg}",2,3.048,154.9140301,472.1779636,0.095887219,274797,6745,6154
103998,Healthcare,ComStock DOE Ref 1980-2004,Small Packaged Unit,2000 to 2012,71543.06474,Unknown,missing,3.048,78.45995709,239.1459492,0.622178914,40319,785,
104480,Healthcare,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,71543.06474,Unknown,1,3.048,64.34640583,196.127845,0.238419375,35378,1225,
104539,Healthcare,ComStock 90.1-2007,Small Packaged Unit,1970 to 1979,71543.06474,"45, North Axis {deg}",1,3.048,64.34640583,196.127845,1.509989376,33268,648,1479
93597,Warehouse and Storage,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,242844.3655,"225, North Axis {deg}",1,8.5344,258.860802,2209.221628,0.014006123,55606,,
93600,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1970 to 1979,120171.9144,"90, North Axis {deg}",2,6.096,180.7465869,1101.831194,0.235121849,52745,44,
93603,Warehouse and Storage,ComStock 90.1-2004,Small Packaged Unit,1990 to 1999,242844.3655,"90, North Axis {deg}",2,8.5344,258.860802,2209.221628,0.252110211,60393,1227,
93605,Office,ComStock 90.1-2007,Small Packaged Unit,1980 to 1989,26178.17466,"225, North Axis {deg}",2,3.048,30.20233421,92.05671468,0.022110322,4366,,
93607,Office,ComStock DOE Ref 1980-2004,Small Packaged Unit,Before 1946,152706.0189,"225, North Axis {deg}",2,3.048,134.4925757,409.9333708,0.228951996,25991,364,
93608,Office,ComStock DOE Ref 1980-2004,Small Packaged Unit,1970 to 1979,65445.43665,Unknown,missing,3.048,96.44181723,293.9546589,0.082111023,10622,,
93609,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1960 to 1969,1870.652159,"90, North Axis {deg}",2,5.1816,23.60970648,122.3360551,0.18,4861,29,
93611,Food Service,ComStock 90.1-2007,Small Packaged Unit,2000 to 2012,56751.43138,Unknown,1,3.048,63.75191176,194.315827,0.099371907,43566,15098,
93612,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,32736.41277,"180, North Axis {deg}",2,5.1816,69.50685958,360.1567436,0.024611754,60072,1341,
93614,Warehouse and Storage,ComStock DOE Ref 1980-2004,Small Packaged Unit,1946 to 1959,242844.3655,"90, North Axis {deg}",2,8.5344,258.860802,2209.221628,0.084036737,57259,2028,
93615,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,1946 to 1959,280597.8238,"90, North Axis {deg}",2,5.1816,232.2747713,1203.554955,0.548886193,637165,7237,
93616,Warehouse and Storage,ComStock 90.1-2007,Small Packaged Unit,1970 to 1979,24284.43655,"270, North Axis {deg}",4,8.5344,64.44004722,549.957139,0.020544602,4856,583,
93618,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1980 to 1989,56080.22674,"225, North Axis {deg}",5,6.096,156.3065903,952.8449744,0.265388203,21851,11,
93619,Warehouse and Storage,ComStock 90.1-2007,Small Packaged Unit,1946 to 1959,242844.3655,"45, North Axis {deg}",2,8.5344,207.6304372,1772.001203,0.457397918,51457,6484,
93620,Warehouse and Storage,ComStock 90.1-2007,Small Packaged Unit,1946 to 1959,242844.3655,"45, North Axis {deg}",2,8.5344,258.860802,2209.221628,0.084036737,53254,1513,
93622,Office,ComStock 90.1-2004,Small Packaged Unit,1990 to 1999,65445.43665,Unknown,2,3.048,69.00981723,210.3419229,0.091800693,10177,,
